category                               predmet                                                oborot availibility
Красота                                Скотчдлянаращиванияволос                                   45 Дефицит
Строительныематериалы                  Обои                                                        9 Дефицит
Вседлясадоводства                      Вывескикованые                                            999 Избыток
Спортивнаяодежда                       Брюкигорнолыжные                                           28 Дефицит
Канцелярскиетовары                     Антистеплеры                                               51 Дефицит
Автомобильныетовары                    Накладкинаколесныеарки                                     16 Дефицит
Продукты                               Жевательныерезинки                                         15 Дефицит
Здоровье                               Компрессионныеперчатки                                     42 Дефицит
Посудаиинвентарь                       Держателикухонные                                          37 Дефицит
Телевизорыиаудиотехника                Гарнитуры                                                  24 Дефицит
Строительныеинструменты                Крюкидлявязкиарматуры                                      68 Нормальнаядоступность
Хранениевещей                          Держателидлямедалей                                        27 Дефицит
Мебель                                 Защитныенаклейкидлямебели                                  56 Дефицит
Телевизорыиаудиотехника                Аксессуарыдлявиниловыхпроигрывателей                       13 Дефицит
Игрушки                                Радиоуправляемыеигрушки                                    23 Дефицит
Здоровье                               Дезинфицирующиесредства                                    29 Дефицит
Спортивныеаксессуары                   Шнуркидляманков                                            77 Нормальнаядоступность
Периферияиаксессуары                   Держателипроводов                                          39 Дефицит
Товарыдлявзрослых                      Мастурбаторымужские                                        55 Дефицит
Белье                                  Монокини                                                  191 Избыток
Хозяйственныетовары                    Спреидляуборки                                             52 Дефицит
Красота                                Щеткикосметические                                         59 Дефицит
Игрушки                                Спирографы                                                 21 Дефицит
Спортивнаяодежда                       Забродники                                                 41 Дефицит
Канцелярскиетовары                     Записныекнижки                                             84 Нормальнаядоступность
Товарыдлямалышей                       Стопомеры                                                  36 Дефицит
Автомобильныетовары                    Датчикиположенияколенвала                                  23 Дефицит
Продукты                               Заменителисухогомолока                                     32 Дефицит
Дом                                    Экраныподванну                                              0 Дефицит
Хозяйственныетовары                    Вантузы                                                    15 Дефицит
Посудаиинвентарь                       Наборыдляприготовлениякоктейлей                            25 Дефицит
Посудаиинвентарь                       Крюкидлямяса                                               26 Дефицит
Фарма                                  Сердечно-сосудистыепрепараты                              999 Избыток
Спортивноепитаниеикосметика            Хлебцыпротеиновые                                          25 Дефицит
Строительныеинструменты                Захватдляжелезобетонныхколец                                8 Дефицит
Товарыдляотдыхаикемпинга               Коврикидлябани                                             27 Дефицит
Ноутбукиикомпьютеры                    Корпусадлякомпьютеров                                       6 Дефицит
Бытоваятехника                         Отпариватели                                               19 Дефицит
Товарыдлямалышей                       Бутылочкидлякормления                                      55 Дефицит
Автоэлектроника                        Пультыуправлениясигнализацией                              16 Дефицит
Вседлясадоводства                      Компостерысадовые                                          42 Дефицит
Бытоваятехника                         Сушкидляобуви                                              23 Дефицит
Умныйдомибезопасность                  Датчикидвижения                                            27 Дефицит
Аксессуары                             Косточкидляворотникарубашки                               120 Нормальнаядоступность
Хозяйственныетовары                    Косметикадлямебели                                         39 Дефицит
Строительныеинструменты                Плиткорезы                                                  5 Дефицит
Мебель                                 Креслакомпьютерные                                         13 Дефицит
Красота                                Флоссеры                                                   61 Нормальнаядоступность
Бижутерия                              Кольца                                                     61 Нормальнаядоступность
Аксессуары                             Платки                                                     51 Дефицит
Здоровье                               Ватамедицинская                                            31 Дефицит
Товарыдляживотных                      Пультыдлядрессировки                                        6 Дефицит
Крупнаябытоваятехника                  Винныешкафы                                                30 Дефицит
Автомобильныетовары                    Съемникишарниров                                            4 Дефицит
Электроника                            Элементыпитания                                            26 Дефицит
Сетевоеоборудование                    Усилителимобильногосигнала                                 24 Дефицит
Товарыдлямалышей                       Одеяладлямалышей                                           36 Дефицит
СпецодеждаиСИЗы                        Бахилы                                                     30 Дефицит
Спортивноепитаниеикосметика            Энергетическиедобавки                                      40 Дефицит
Продукты                               Шроты                                                      12 Дефицит
Спортивныйтовар                        Наборыдляслэклайна                                         12 Дефицит
Автомобильныетовары                    Аккумуляторыдлямотоциклов                                   1 Дефицит
Спортивныйтовар                        Трубкидуховые                                               1 Дефицит
Посудаиинвентарь                       Овощерезкиручные                                           22 Дефицит
Автомобильныетовары                    Форсункиомывателя                                          10 Дефицит
Дом                                    Коврикидлятуалета                                          47 Дефицит
Посудаиинвентарь                       Формыдлязапекания                                          22 Дефицит
Красота                                Кремы                                                      30 Дефицит
Товарыдляотдыхаикемпинга               Шезлонгисадовые                                            26 Дефицит
Аксессуарыдлямалышей                   Шапки-шлемыдлямалышей                                      64 Нормальнаядоступность
Вседлясадоводства                      Креплениядляпарника                                        36 Дефицит
Продукты                               Ножкикуриные                                                0 Дефицит
Аксессуары                             Сумкидляноутбуков                                          45 Дефицит
Спортивныеаксессуары                   Аккумуляторыдлявелосипедныхфонарей                          2 Дефицит
Ноутбукиикомпьютеры                    Моноблоки                                                  23 Дефицит
Профессиональныемузыкальныеинструменты Чаймсы                                                      0 Дефицит
Спортивныйтовар                        Гидролиниивелосипедные                                    999 Избыток
Товарыдляживотных                      Дверныезвонкидлясобак                                     999 Избыток
Одежда                                 Шорты                                                     150 Избыток
Посудаиинвентарь                       Палочкидлямороженого                                       24 Дефицит
Бытоваятехника                         Коврикисподогревом                                          5 Дефицит
Спортивноепитаниеикосметика            Добавкидлясуставовисвязок                                  38 Дефицит
Автомобильныетовары                    Камерыдляшинмотоциклов                                      8 Дефицит
Строительныеинструменты                Выключателиэлектронные                                     18 Дефицит
Строительныематериалы                  Фиксаторышвов                                             999 Избыток
Спортивныйтовар                        Чучелаохотничьи                                            45 Дефицит
Строительныематериалы                  Водосточныесистемы                                         31 Дефицит
Товарыдляживотных                      Ограждениядляживотных                                      27 Дефицит
ФотоиВидеотехника                      Дискидлязаписи                                             12 Дефицит
Аксессуары                             Муфты                                                     324 Избыток
Строительныеинструменты                Флюсыпаяльные                                              14 Дефицит
Товарыдлявзрослых                      Бандажиэротик                                              30 Дефицит
Спортивныйтовар                        Стропы                                                     20 Дефицит
Игрушки                                Магнитныедоски                                             17 Дефицит
Мебель                                 Столикивинные                                              10 Дефицит
Посудаиинвентарь                       Ветчинницы                                                 48 Дефицит
Строительныеинструменты                Зубиласлесарные                                            15 Дефицит
Товарыдлямалышей                       Машиныдляприготовлениясмеси                                 0 Дефицит
Спортивныйтовар                        Дорожкибалансировочные                                     11 Дефицит
Автомобильныетовары                    Кулачкимеханизмаручногостартера                             0 Дефицит
Аксессуары                             Держателидлямасок                                         215 Избыток
Канцелярскиетовары                     Шпагатыбанковский                                          60 Дефицит
Спортивныйтовар                        Колесадлявелосипедов                                       34 Дефицит
Спортивныйтовар                        Блокидляйоги                                               34 Дефицит
Товарыдляотдыхаикемпинга               Тентыдлясадовыхкачелей                                    139 Избыток
Головныеуборы                          Чалма                                                      97 Нормальнаядоступность
Строительныеинструменты                Клещитокоизмерительные                                     19 Дефицит
Спортивныйтовар                        Зажимыдляальпинизма                                        46 Дефицит
Торговоеоборудование                   Терминалыдляэквайринга                                      1 Дефицит
Спортивныйтовар                        Приманкимягкие                                            101 Нормальнаядоступность
Спортивныеаксессуары                   Манжетыдляног                                              19 Дефицит
Строительныеинструменты                Миксерыдлястроительныхсмесей                               28 Дефицит
Строительныеинструменты                Мультитулы                                                 32 Дефицит
Посудаиинвентарь                       Иглыкулинарные                                              0 Дефицит
Красота                                Гигиеническиепомады                                        29 Дефицит
Садоваятехника                         Насосныестанции                                             4 Дефицит
Строительныематериалы                  Сеткиштукатурные                                            8 Дефицит
Спортивныйтовар                        Наборыдляпутешествий                                       51 Дефицит
Продукты                               Соки                                                       21 Дефицит
Спортивнаяобувь                        Бутсы                                                      33 Дефицит
Строительныеинструменты                Тепловизоры                                                20 Дефицит
Игрушки                                Запчастидляигровыхпалаток                                   0 Дефицит
Мебель                                 Кровати                                                     0 Дефицит
Товарыдляживотных                      Кормушки-поилкидлярептилий                                 43 Дефицит
Мебель                                 Полкидетские                                                9 Дефицит
Оргтехника                             КонтроллерыИБП                                              6 Дефицит
Здоровье                               Йод                                                        46 Дефицит
Товарыдляживотных                      Коврикидлялотков                                           23 Дефицит
Автомобильныетовары                    Тормозныебарабаны                                           5 Дефицит
Красота                                Микробраши                                                 45 Дефицит
Строительныематериалы                  Эмалистроительные                                          19 Дефицит
Оргтехника                             Сканеры                                                     5 Дефицит
Спортивныеаксессуары                   Шапочкидляплавания                                         70 Нормальнаядоступность
Одежда                                 Толстовки                                                  76 Нормальнаядоступность
Строительныематериалы                  Плиткагранитная                                             3 Дефицит
Игровыеконсолииигры                    Аксессуарыдлягеймпадов                                     17 Дефицит
Продукты                               Чурчхела                                                   10 Дефицит
Товарыдляотдыхаикемпинга               Диванысадовые                                             999 Избыток
Смартфоныиаксессуары                   Защитныекольцадлясмартфонов                                34 Дефицит
Аксессуарыдлямалышей                   Шапкидлямалышей                                           145 Избыток
Белье                                  Накладкидляног                                            116 Нормальнаядоступность
Бижутерия                              Подвескибижутерные                                         37 Дефицит
Автомобильныетовары                    Тросикисцепления                                            0 Дефицит
Хозяйственныетовары                    Кондиционерыдлябелья                                       24 Дефицит
Красота                                Ватныепалочки                                              38 Дефицит
Здоровье                               Компрессионныегетры                                        81 Нормальнаядоступность
Автомобильныетовары                    Обогревателиавтомобильные                                   2 Дефицит
Посудаиинвентарь                       Крышкидлягастроемкостей                                    26 Дефицит
Строительныематериалы                  Профилимаячковые                                            0 Дефицит
Товарыдляживотных                      Мылодляживотных                                            88 Нормальнаядоступность
Канцелярскиетовары                     Бумагамиллиметровая                                        15 Дефицит
Вседлясадоводства                      Свечиуличные                                               25 Дефицит
Ноутбукиикомпьютеры                    Картридеры                                                 21 Дефицит
Дляпраздника                           Аксессуарыдляфотосессий                                    23 Дефицит
Аксессуарыдляобуви                     Пропиткидляобуви                                           26 Дефицит
Канцелярскиетовары                     Табличкиинформационные                                     21 Дефицит
Продукты                               Лапша                                                      36 Дефицит
Дом                                    Цифрыдверные                                               46 Дефицит
Строительныеинструменты                Дискиотрезные                                               9 Дефицит
Одежда                                 Крестильныерубашки                                         77 Нормальнаядоступность
Вседлясадоводства                      Побелкисадовые                                             78 Нормальнаядоступность
Строительныеинструменты                Нивелиры                                                   18 Дефицит
Одеждадлямалышей                       Худидлямалышей                                            124 Избыток
Спортивныеаксессуары                   Недоуздки                                                  45 Дефицит
Смартфоныиаксессуары                   Смарт-часы                                                 19 Дефицит
Спортивныйтовар                        Тормозагидравлическиедисковые                              14 Дефицит
Здоровье                               Ортезыколенные                                             79 Нормальнаядоступность
Игрушки                                Наборы-кейсы                                               19 Дефицит
Строительныематериалы                  Домасборные                                                 4 Дефицит
Красота                                Пенадляванны                                               24 Дефицит
Спортивныйтовар                        Аксессуарыдлягазовыхламп                                   18 Дефицит
ФотоиВидеотехника                      Кронштейныдлявидеотехники                                  47 Дефицит
Вседлясадоводства                      Прудыдекоративные                                         275 Избыток
Товарыдлямалышей                       Грелкидетские                                              18 Дефицит
Хранениевещей                          Вакуумныепакеты                                            85 Нормальнаядоступность
Дом                                    Пробкидляванной                                            47 Дефицит
Строительныематериалы                  Заглушкивентиляционные                                     31 Дефицит
Спортивныйтовар                        Ручкидетскиенаруль                                        145 Избыток
Техникадлякухни                        Пароваркиэлектрические                                     22 Дефицит
Вседлясадоводства                      Луковичныерастения                                          6 Дефицит
Техникадлякухни                        Насадкидляблендеров                                         7 Дефицит
Канцелярскиетовары                     Насосыдляраспыленияфломастеров                              5 Дефицит
Спортивноепитаниеикосметика            Аминокислоты                                               34 Дефицит
Товарыдляживотных                      Овоскопы                                                   14 Дефицит
Вседлясадоводства                      Ящикидлярассады                                            44 Дефицит
Автомобильныетовары                    Кронштейныдлялебедок                                        8 Дефицит
Электротранспорт                       Запчастидляэлектромобилей                                  25 Дефицит
Головныеуборы                          Береты                                                     87 Нормальнаядоступность
Периферияиаксессуары                   Картыпамяти                                                26 Дефицит
Рукоделие                              Эмбоссерыручные                                            45 Дефицит
Техникадлякухни                        Электрическиемельницы                                      15 Дефицит
Электроника                            Шапкисгарнитурой                                            7 Дефицит
Спортивныеаксессуары                   Воскидлясерфинга                                            0 Дефицит
Умныйдомибезопасность                  Муляжикамервидеонаблюдения                                 43 Дефицит
Техникадлякухни                        Аксессуарыдлямясорубок                                      6 Дефицит
Строительныематериалы                  Карабиныстроительные                                      108 Нормальнаядоступность
Спортивныйтовар                        Пневматическиеоружия                                       19 Дефицит
Строительныематериалы                  Пленкиизоляционные                                          3 Дефицит
Бытоваятехника                         Матрасыэлектрические                                       15 Дефицит
Бижутерия                              Булавкидляворотника                                        26 Дефицит
Товарыдлявзрослых                      Благовонияэротик                                           44 Дефицит
Посудаиинвентарь                       Масленки                                                   26 Дефицит
СпецодеждаиСИЗы                        Наушникипротивошумные                                      19 Дефицит
Канцелярскиетовары                     Палитры                                                    61 Нормальнаядоступность
Хранениевещей                          Насосыдлявакуумныхпакетов                                  26 Дефицит
Товарыдлякурения                       Мундштукидлясигарет                                        14 Дефицит
Ювелирныеукрашения                     Ювелирныенаклейки                                          26 Дефицит
Спортивныйтовар                        Подставкиподудочки                                         25 Дефицит
Игрушки                                Самолетыивертолеты                                         33 Дефицит
Товарыдляживотных                      Генераторыимпульсов                                         8 Дефицит
Товарыдлямалышей                       Подушкидлякормления                                        39 Дефицит
Аксессуарыдляобуви                     Пяткоудерживатели                                          88 Нормальнаядоступность
Сантехника                             Ванны                                                       5 Дефицит
Красота                                Таблеткидляиндикациизубногоналета                          45 Дефицит
Строительныематериалы                  Лоткидляметизов                                            18 Дефицит
Ювелирныеукрашения                     Ювелирныечетки                                             60 Дефицит
Сантехника                             Запчастидляводонагревателей                                 7 Дефицит
Спортивныйтовар                        Стульядляйоги                                               3 Дефицит
Спортивныйтовар                        Аксессуарыдляоружия                                        13 Дефицит
Рукоделие                              Основыдлявышивания                                         31 Дефицит
Строительныематериалы                  Грунтовкиаэрозольные                                       29 Дефицит
Спортивныеаксессуары                   Поясадляединоборств                                        32 Дефицит
Одеждадлямалышей                       Полупальтодлямалышей                                       64 Нормальнаядоступность
Электротранспорт                       Моноколеса                                                 16 Дефицит
Умныйдомибезопасность                  Аудиодомофоны                                              15 Дефицит
Товарыдляживотных                      Когтерезки                                                 56 Дефицит
Красота                                Кассетыдлябритв                                            40 Дефицит
Аксессуары                             Биркидляключей                                             34 Дефицит
Строительныематериалы                  Праймерыбитумные                                            9 Дефицит
Продукты                               Отруби                                                     25 Дефицит
Профессиональныемузыкальныеинструменты Педалидлябарабанов                                          2 Дефицит
Бельедлямалышей                        Плавкидлямалышей                                          122 Избыток
Вседлясадоводства                      Кашпо                                                      54 Дефицит
Садоваятехника                         Реледавлениянасосов                                        23 Дефицит
Белье                                  Пэстис                                                     73 Нормальнаядоступность
Продукты                               Хинкали                                                     1 Дефицит
Строительныематериалы                  Теплоизоляциядлятеплыхполов                                 1 Дефицит
Дом                                    Футлярыдляспичексувенирные                                999 Избыток
Телевизорыиаудиотехника                КомплектыспутниковогоТВ                                    48 Дефицит
Профессиональныемузыкальныеинструменты Канифольдляскрипки                                         16 Дефицит
Канцелярскиетовары                     Держателиканцелярские                                      37 Дефицит
Техникадлякухни                        Кухонныемашины                                             42 Дефицит
Электроника                            Радио-часы                                                 44 Дефицит
Ювелирныеукрашения                     Ювелирныешпильки                                            9 Дефицит
Одежда                                 Ветровки                                                  379 Избыток
СпецодеждаиСИЗы                        Респираторы                                               102 Нормальнаядоступность
Техникадлякухни                        Суповаркиэлектрические                                     24 Дефицит
Аксессуары                             Подворотничкиодноразовые                                   81 Нормальнаядоступность
Здоровье                               Изделияотмобильногоизлучения                               97 Нормальнаядоступность
Красота                                Бамперыдляпарикмахерскихножниц                            999 Избыток
СпецодеждаиСИЗы                        Противогазы                                                15 Дефицит
Хозяйственныетовары                    Мышеловки                                                  27 Дефицит
Товарыдляживотных                      Влажныесалфеткидляживотных                                 39 Дефицит
Строительныеинструменты                Дискиалмазные                                              30 Дефицит
Рукоделие                              Литьевыекамни                                              11 Дефицит
Мебель                                 ТумбыподТВ                                                  2 Дефицит
Строительныематериалы                  Жидкиеобои                                                 21 Дефицит
Здоровье                               Бандажидо-ипослеродовые                                    80 Нормальнаядоступность
Электроника                            Часыэлектронные                                            20 Дефицит
Красота                                Клейдлянаращиванияволос                                    31 Дефицит
Ювелирнаябижутерия                     Пирсингювелирнаябижутерия                                  63 Нормальнаядоступность
Автоэлектроника                        Инверторыавтомобильные                                      9 Дефицит
Канцелярскиетовары                     Маркеры                                                    24 Дефицит
Строительныеинструменты                Талицепные                                                  2 Дефицит
Садоваятехника                         Катушкидлятриммеров                                        72 Нормальнаядоступность
Хозяйственныетовары                    Скребкидлястеклокерамики                                   48 Дефицит
Спортивныеаксессуары                   Аксессуарыдлядайвинга                                      20 Дефицит
Строительныематериалы                  Ручкидверные                                               29 Дефицит
Товарыдляотдыхаикемпинга               Столысадовые                                                7 Дефицит
Аксессуары                             Ранцы                                                     281 Избыток
Посудаиинвентарь                       Машинкизакаточные                                          33 Дефицит
Красота                                Парафинкосметический                                       25 Дефицит
Здоровье                               Растворылекарственные                                      15 Дефицит
Электроника                            Дроны-опрыскивателидлясельскогохозяйства                    7 Дефицит
Автомобильныетовары                    Опорыамортизаторов                                         33 Дефицит
Хранениевещей                          Кейсыдлядисков                                             24 Дефицит
Спортивныеаксессуары                   Расширителихвата                                           42 Дефицит
Товарыдлямалышей                       Накладкинасоски                                            28 Дефицит
Продукты                               Пироги                                                    226 Избыток
Бытоваятехника                         Очистителивоздуха                                          40 Дефицит
Одеждадлямалышей                       Пиджакидлямалышей                                          73 Нормальнаядоступность
Рукоделие                              Холсты                                                     46 Дефицит
Рукоделие                              Стразы                                                     22 Дефицит
Канцелярскиетовары                     Ежедневники                                                39 Дефицит
Рукоделие                              Другиежидкостидлярукоделия                                 35 Дефицит
Здоровье                               Очкиперископы                                              21 Дефицит
Строительныематериалы                  Комплектующиекплинтусам                                    98 Нормальнаядоступность
Товарыдлявзрослых                      Дезодорантыэротик                                          13 Дефицит
Автомобильныетовары                    Ручкикоробкипередач                                        20 Дефицит
Спортивныйтовар                        Роликипереключателя                                        61 Нормальнаядоступность
Бытоваятехника                         Термометрыэлектронные                                      11 Дефицит
Товарыдляотдыхаикемпинга               Хлорогенераторы                                            13 Дефицит
Вседлясадоводства                      Форточкидлятеплиц                                           3 Дефицит
Спортивнаяодежда                       Костюмысноубордические                                     36 Дефицит
Строительныематериалы                  Антисептики-пропитки                                       26 Дефицит
Строительныеинструменты                КлючиTORX                                                  15 Дефицит
Продукты                               Повидло                                                    11 Дефицит
Игрушки                                Спортивныеигровыенаборы                                    34 Дефицит
Красота                                Кератолитики                                               65 Нормальнаядоступность
